accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
MG660832.1,TRUE,Astroviridae,LLT03,China,Sichuan takin astrovirus,,non-human,2013,FALSE,FALSE,Budorcas taxicolor tibetana,Mammal,,FALSE,ai,TRUE,FALSE,,
MN506284.1,TRUE,Orthoflavivirus,VL 2967,Brazil: Valenca-RJ,Yellow fever virus,,non-human,24-Jan-2018,FALSE,FALSE,Heteromys janthinomys,Mammal,"Valenca-RJ, Brazil",TRUE,ai,TRUE,FALSE,,
NC_011349.1,TRUE,Senecavirus,SVV-001,USA,Senecavirus A,,non-human,,FALSE,FALSE,,,"null, USA",TRUE,ai,TRUE,FALSE,,
KT203769.1,TRUE,Gammapolyomavirus,PL1233X,Poland,Gammapolyomavirus avis,,non-human,2011,FALSE,FALSE,Psittacula krameri,Avian,Poland,FALSE,ai,TRUE,FALSE,,
EF205172.1,TRUE,Alphainfluenzavirus,A/turkey/Suzdalka/12/05,,Influenza A virus (A/turkey/Suzdalka/12/05(H5N1)),,non-human,,FALSE,FALSE,Aves,Avian,"Suzdalka, Russia",TRUE,ai,TRUE,TRUE,6,
GU589584.1,FALSE,Orthoreovirus,Abney,,Mammalian orthoreovirus 3,,non-human,,FALSE,FALSE,,,,FALSE,ai,TRUE,TRUE,S2,
DQ997280.1,TRUE,Alphainfluenzavirus,A/goose/Jilin/hb/2003,China,Influenza A virus (A/goose/Jilin/hb/2003(H5N1)),,non-human,,FALSE,FALSE,Anser anser domesticus,Avian," , China",TRUE,ai,TRUE,TRUE,3,
JX274020.1,TRUE,Avihepadnavirus,P1032,Poland,Parrot hepatitis B virus,,non-human,12-Mar-2010,FALSE,FALSE,Psittacula krameri,Avian,"Unknown, Poland",FALSE,ai,TRUE,FALSE,,
NC_036473.1,TRUE,Orthoreovirus,CGA280-05,Chile,Piscine orthoreovirus,,non-human,Nov-2011,FALSE,FALSE,Salmo salar,Fish,,FALSE,ai,TRUE,TRUE,S2,
MG562586.1,TRUE,Lyssavirus,VT.2008.0275,USA,Lyssavirus rabies,,non-human,2008,FALSE,FALSE,Mephitidae,Mammal,,TRUE,ai,TRUE,FALSE,,
MH051229.1,TRUE,Orthoflavivirus,XYBX1332,China: Yunnan,Yokose virus,,non-human,Jul-2013,FALSE,FALSE,Myotis daubentonii,Mammal,"Yunnan, China",FALSE,ai,TRUE,FALSE,,
MH620810.1,TRUE,Flaviviridae,17FIN1,Finland,Lampyris noctiluca flavivirus 1,,non-human,2017,FALSE,FALSE,Lampyris noctiluca,Insect,Finland,FALSE,ai,TRUE,FALSE,,
MH484439.1,TRUE,Orthohepadnavirus,WFSG_111,China,Shrew hepatitis B virus,,non-human,2017,FALSE,FALSE,Crocidura attenuata,Mammal,China,FALSE,ai,TRUE,FALSE,,
KY426766.1,TRUE,Orthoflavivirus,V528,Germany,Usutu virus,,non-human,11-Oct-2016,FALSE,FALSE,Turdus merula,Avian,"Unknown, Germany",TRUE,ai,TRUE,FALSE,,
KU840377.1,TRUE,Alphavirus,EEEV/Gruidae/USA/I04-613-A-A/2004,"USA: Gilchrist County, FL",Eastern equine encephalitis virus,,non-human,11-Dec-2004,FALSE,FALSE,Gruidae,Avian,"Gilchrist County, USA",TRUE,ai,TRUE,FALSE,,
MF143198.2,TRUE,Lyssavirus,ME.2013.0101,"USA: Windham, Cumberland, ME",Lyssavirus rabies,,non-human,17-Apr-2013,FALSE,FALSE,,Mammal,"Windham, Cumberland, ME, USA",TRUE,ai,TRUE,FALSE,,
J02428.1,TRUE,Vesiculovirus,,,Vesicular stomatitis Indiana virus,,non-human,,FALSE,FALSE,,,,TRUE,ai,TRUE,FALSE,,
MG562538.1,TRUE,Lyssavirus,NY.2004.4138,USA,Lyssavirus rabies,,non-human,2004,FALSE,FALSE,Procyon lotor,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
MW279843.1,TRUE,Orthoreovirus,PRV-1 NOR-1997-V4105,Norway,Piscine orthoreovirus,,non-human,1997,FALSE,FALSE,Salmo salar,Fish,Norway,FALSE,ai,TRUE,TRUE,M1,
OL704823.1,TRUE,Papillomaviridae,MAVG-32,Argentina,Molossus molossus papillomavirus type 2,,non-human,17-Mar-2017,FALSE,FALSE,Molossus molossus,Mammal,Argentina,TRUE,ai,TRUE,FALSE,,
MG672481.1,TRUE,Enterovirus,MRT-14-250,Mauritania,Enterovirus A71,,non-human,,FALSE,FALSE,Unknown,Other,Mauritania,TRUE,ai,TRUE,FALSE,,
KY026442.1,TRUE,Lyssavirus,raccoon,Canada,Lyssavirus rabies,,non-human,25-Oct-2000,FALSE,FALSE,Procyon lotor,Mammal,,TRUE,ai,TRUE,FALSE,,
MF143398.2,TRUE,Lyssavirus,VT.2009.0146,"USA: Craftsbury, Orleans, VT",Lyssavirus rabies,,non-human,19-Oct-2009,FALSE,FALSE,Procyon lotor,Mammal,"Craftsbury, USA",TRUE,ai,TRUE,FALSE,,
KJ495763.1,TRUE,Orbivirus,AUS1969/01,Australia,Warrego virus,,non-human,1969,FALSE,FALSE,marsupial,Mammal," , Australia",FALSE,ai,TRUE,TRUE,9,
MK540721.1,TRUE,Lyssavirus,NY.2004.8258R,USA: New York,Lyssavirus rabies,,non-human,2004,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
JN880455.1,TRUE,Mastadenovirus,A1327,USA,Simian adenovirus A1327,,non-human,2009,FALSE,FALSE,Macaca mulatta,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ599141.1,TRUE,Orthoreovirus,variant T3v1,Canada,Mammalian orthoreovirus 3,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Canada",TRUE,ai,TRUE,TRUE,L3,
ON059875.1,TRUE,Rotavirus,P029T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis sp.,Mammal,"Unknown, Unknown",TRUE,ai,TRUE,TRUE,6,
KY026440.1,TRUE,Lyssavirus,raccoon,Canada,Lyssavirus rabies,,non-human,15-Sep-2000,FALSE,FALSE,Procyon lotor,Mammal,Canada,TRUE,ai,TRUE,FALSE,,
AF389461.1,TRUE,Cypovirus,,,Lymantria dispar cypovirus 14,,non-human,,FALSE,FALSE,Arthropoda,Insect,,FALSE,ai,TRUE,TRUE,10,
NC_003703.1,TRUE,Coltivirus,Fr578,,Eyach virus,,non-human,,FALSE,FALSE,arthropod,Insect,,TRUE,ai,TRUE,TRUE,8,
KX000075.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB08MS510615/2008,"USA: Suffolk, NY",Eastern equine encephalitis virus,,non-human,05-Aug-2008,TRUE,FALSE,Culiseta melanura,Insect,"Suffolk, USA",TRUE,ai,TRUE,FALSE,,
MZ004952.1,TRUE,Aquareovirus,HGCRV,China,Grass carp reovirus,,non-human,2019,FALSE,FALSE,Ctenopharyngodon idella,Fish,"Unknown, China",FALSE,ai,TRUE,TRUE,S1,
OQ363755.1,TRUE,Picornaviridae,GD/L117.18g/2022,China,Bat picornavirus 5,,non-human,Jul-2022,FALSE,FALSE,Miniopterus pusillus,Mammal,China,TRUE,ai,TRUE,FALSE,,
MK783010.1,TRUE,Novirhabdovirus,TAVgr08-03,USA: Lake Michigan,Viral hemorrhagic septicemia virus,,non-human,2008,FALSE,FALSE,Ambloplites rupestris,Fish,"Lake Michigan, USA",FALSE,ai,TRUE,FALSE,,
NC_021154.1,TRUE,Pegivirus,CC61,USA,Rodent pegivirus,,non-human,2008,FALSE,FALSE,Neotoma lepida,Mammal," , USA",FALSE,ai,TRUE,FALSE,,
OM471633.1,TRUE,Aphthovirus,Asia1/PAK/ICT/189-4/2012_pro,Pakistan: Islamabad Capital Territory,Foot-and-mouth disease virus Asia 1,,non-human,22-Nov-2012,FALSE,FALSE,Bubalus bubalis,Mammal,"Islamabad Capital Territory, Pakistan",TRUE,ai,TRUE,FALSE,,
AF405684.1,FALSE,Enterovirus,DOR00028,,Poliovirus 1,,non-human,,FALSE,FALSE,Unknown,Other,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
MK540665.1,TRUE,Lyssavirus,NY.1990.2880R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
ON059879.1,TRUE,Rotavirus,P022T/pangolin/2018,,Rotavirus A,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,,TRUE,ai,TRUE,TRUE,7,
NC_015127.1,TRUE,Orthoreovirus,AVS-B,USA,Avian orthoreovirus,,non-human,,FALSE,FALSE,Aves,Avian,"Unknown, USA",TRUE,ai,TRUE,TRUE,L2,
MT381995.1,TRUE,Cytorhabdovirus,ND4,Greece,Cucurbit cytorhabdovirus 1,,non-human,2018,FALSE,FALSE,Cucurbita pepo,Plant,"Athens, Greece",FALSE,ai,TRUE,FALSE,,
PP275068.1,TRUE,Mogiana tick virus,164BOV19,France: Corsica,Jingmen tick virus,,non-human,2019,FALSE,FALSE,Rhipicephalus bursa,Insect,"Corsica, France",TRUE,ai,TRUE,TRUE,2,
AY186198.1,TRUE,Dependoparvovirus,ATCC VR-865,,Avian adeno-associated virus ATCC VR-865,,non-human,,FALSE,FALSE,bird,Avian,,FALSE,ai,TRUE,FALSE,,
NC_052683.1,TRUE,Quaranjavirus,Ib An 38918,Nigeria,Lake Chad virus,,non-human,1969,FALSE,FALSE,Ploceus vitellinus,Avian,"Unknown, Nigeria",TRUE,ai,TRUE,TRUE,4,
KF751869.1,TRUE,Orthoflavivirus,MK6684,Papua New Guinea,Murray Valley encephalitis virus,,non-human,1966,FALSE,FALSE,Culicidae,Insect,"Unknown, Papua New Guinea",TRUE,ai,TRUE,FALSE,,
KF620487.1,TRUE,Lyssavirus,R2012-26,Taiwan,Lyssavirus rabies,,non-human,May-2012,FALSE,FALSE,Melogale moschata,Mammal,Taiwan,TRUE,ai,TRUE,FALSE,,
OP037821.1,TRUE,Orthoflavivirus,TP21,,Langat virus,,non-human,,FALSE,FALSE,Ixodes persulcatus,Insect,,TRUE,ai,TRUE,FALSE,,
ON024123.1,TRUE,Protoparvovirus,PPrV/P213T/pangolin/2018,China,Pangolin protoparvovirus,,non-human,2018,FALSE,FALSE,Manis javanica,Mammal,China,TRUE,ai,TRUE,FALSE,,
KU254571.1,TRUE,Aquareovirus,Huan1307,China,Grass carp reovirus,,non-human,Jul-2013,FALSE,FALSE,Ctenopharyngodon idellus,Fish,China,FALSE,ai,TRUE,TRUE,6,
KX547308.1,TRUE,Orthoflavivirus,WNV-1/Cyanocitta cristata /USA/04002880/2004,"USA: Bronx Co., NY",West Nile virus,,non-human,30-Sep-2004,TRUE,FALSE,Cyanocitta cristata,Avian,"Bronx, USA",TRUE,ai,TRUE,FALSE,,
KJ082087.1,TRUE,Alphanucleorhabdovirus,Agapanthus,Italy,Eggplant mottled dwarf virus,,non-human,Apr-2012,FALSE,FALSE,Agapanthus sp.,Plant,Italy,FALSE,ai,TRUE,FALSE,,
AY461507.1,TRUE,Ambidensovirus,,,Mythimna loreyi densovirus,,non-human,,FALSE,FALSE,arthropod,Insect,,FALSE,ai,TRUE,FALSE,,
OR536958.1,TRUE,Cytorhabdovirus,Cytorhab_Cil_Cl,Chile,Coriander cytorhabdovirus 1,,non-human,Mar-2020,FALSE,FALSE,Coriandrum sativum,Plant,Chile,FALSE,ai,TRUE,FALSE,,
EU329176.1,TRUE,Alphainfluenzavirus,A/wild duck/Hunan/021/2005,China,Influenza A virus (A/wild duck/Hunan/021/2005(H5N1)),,non-human,,FALSE,FALSE,Unspecified bird,Avian,"Unknown, China",TRUE,ai,TRUE,TRUE,3,
EF492343.1,TRUE,Alphainfluenzavirus,A/chicken/Israel/29/2005,,Influenza A virus (A/chicken/Israel/29/2005(H9N2)),,non-human,,FALSE,FALSE,Unknown,Avian,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
KX505867.1,TRUE,Mastadenovirus,WIV19,China,simian adenovirus 55,,non-human,Aug-2014,FALSE,FALSE,Rhinopithecus roxellana,Mammal,China,TRUE,ai,TRUE,FALSE,,
KU587856.1,TRUE,Rotavirus,pheasant-wt/HUN/216/2015/G23P[37],Hungary,Rotavirus A pheasant-wt/HUN/216/2015/G23P[37],,non-human,2015,FALSE,FALSE,Phasianus colchicus,Avian,"Hungary, Hungary",FALSE,ai,TRUE,TRUE,4,
KX000129.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB11MS260199/2011,"USA: Madison, NY",Eastern equine encephalitis virus,,non-human,17-Aug-2011,TRUE,FALSE,Culiseta melanura,Insect,"Madison, USA",TRUE,ai,TRUE,FALSE,,
K01834.1,TRUE,Avihepadnavirus,,,Duck hepatitis B virus,,non-human,,FALSE,FALSE,Anas platyrhynchos,Avian,"Unknown, Unknown",FALSE,ai,TRUE,FALSE,,
KU587854.1,TRUE,Rotavirus,pheasant-wt/HUN/216/2015/G23P[37],Hungary,Rotavirus A pheasant-wt/HUN/216/2015/G23P[37],,non-human,2015,FALSE,FALSE,Phasianus colchicus,Avian,"null, Hungary",FALSE,ai,TRUE,TRUE,2,
MF143201.2,TRUE,Lyssavirus,ME.2013.0110,"USA: Lewistion, Androscoggin, ME",Lyssavirus rabies,,non-human,26-Apr-2013,FALSE,FALSE,Procyon lotor,Mammal,"Lewistion, Androscoggin, ME, USA",TRUE,ai,TRUE,FALSE,,
MK540674.1,TRUE,Lyssavirus,NY.1990.4897R,USA: New York,Lyssavirus rabies,,non-human,1990,FALSE,FALSE,,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
KJ495749.1,TRUE,Orbivirus,AUS1978/09,Australia,Wallal virus,,non-human,02-Mar-1978,FALSE,FALSE,Marsupialia,Mammal,Australia,FALSE,ai,TRUE,TRUE,5,
NC_043368.1,TRUE,Idnoreovirus,,,Diadromus pulchellus idnoreovirus 1,,non-human,,FALSE,FALSE,Diadromus pulchellus,Insect,,FALSE,ai,TRUE,TRUE,,
MK829682.1,TRUE,Novirhabdovirus,VHSV/O.mykiss/I/TN/80/Mar10,Italy,Viral hemorrhagic septicemia virus,,non-human,09-Mar-2010,FALSE,FALSE,Oncorhynchus mykiss,Fish,"Unknown, Italy",TRUE,ai,TRUE,FALSE,,
EF492346.1,TRUE,Alphainfluenzavirus,A/chicken/Israel/282/2005,,Influenza A virus (A/chicken/Israel/282/2005(H9N2)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,,TRUE,ai,TRUE,FALSE,,
MF143375.2,TRUE,Lyssavirus,VT.2006.0108,"USA: Stowe, Lamoille, VT",Lyssavirus rabies,,non-human,30-Aug-2006,FALSE,FALSE,Procyon lotor,Mammal,"Stowe, Lamoille, VT, USA",TRUE,ai,TRUE,FALSE,,
EU486989.1,TRUE,Cypovirus,British Columbia 2006,Canada,Choristoneura occidentalis cypovirus 16,,non-human,,FALSE,FALSE,Choristoneura occidentalis,Insect,,FALSE,ai,TRUE,TRUE,3,
MK782999.1,TRUE,Novirhabdovirus,G61/Cell16c,USA: Lake Erie,Viral hemorrhagic septicemia virus,,non-human,2016,FALSE,FALSE,Micropterus salmoides,Fish,USA,TRUE,ai,TRUE,FALSE,,
MF468141.1,TRUE,Cytomegalovirus,68.1.2_85A/85B/Rv3407,,macacine betaherpesvirus 3,,non-human,,FALSE,FALSE,Macaca mulatta,Mammal,", ",TRUE,ai,TRUE,FALSE,,
MZ965020.1,TRUE,Alpharicinrhavirus,WTV1/HAHH1,China,Wuhan Tick Virus 1,,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,FALSE,,
MT226633.1,FALSE,Rotavirus,RRV1-br,Mexico,Rotavirus A,,non-human,,TRUE,FALSE,Unknown,Other,Mexico,TRUE,ai,TRUE,TRUE,11,
MK052927.1,TRUE,Orthoreovirus,19(P2),Chile,Piscine orthoreovirus,,non-human,Apr-2018,FALSE,FALSE,Oncorhynchus kisutch,Fish,"Unknown, Chile",FALSE,ai,TRUE,TRUE,S1,
NC_012545.1,TRUE,Phytoreovirus,Fillmore,USA,Homalodisca vitripennis reovirus,,non-human,Oct-2006,FALSE,FALSE,Homalodisca vitripennis,Insect,USA,FALSE,ai,TRUE,TRUE,11,
MG562596.1,TRUE,Lyssavirus,VT.2009.0322,USA,Lyssavirus rabies,,non-human,2009,FALSE,FALSE,Urocyon cinereoargenteus,Mammal,,TRUE,ai,TRUE,FALSE,,
KJ438774.1,TRUE,Orthoflavivirus,V248,Germany,Usutu virus,,non-human,2012,FALSE,FALSE,Turdus merula,Avian,Germany,TRUE,ai,TRUE,FALSE,,
KJ001579.1,TRUE,Mogiana tick virus,SY84,China,Jingmen tick virus,,non-human,01-Jul-2010,FALSE,FALSE,Rhipicephalus microplus,Insect,China,TRUE,ai,TRUE,TRUE,1,
OP924558.1,TRUE,Rotavirus,RVA/Recombinant-tc/USA/rRIX4414- VP2mt1/2022/G1P[8],USA,Rotavirus A,,non-human,2022,FALSE,FALSE,plant,Plant,,FALSE,ai,TRUE,TRUE,4,
KP279747.1,TRUE,Mastadenovirus,GPAdV_5,Antarctica,unidentified adenovirus,,non-human,2010,FALSE,FALSE,Pygoscelis papua,Avian,Antarctica,FALSE,ai,TRUE,FALSE,,
MK540727.1,TRUE,Lyssavirus,NY.2010.1262R,USA: New York,Lyssavirus rabies,,non-human,2010,FALSE,FALSE,Procyon lotor,Mammal,"New York, USA",TRUE,ai,TRUE,FALSE,,
NC_078607.1,TRUE,Sardinovirus,POMV14-01514,"Australia: Huon, Southern Tasmania",Pilchard orthomyxovirus,,non-human,2014,FALSE,FALSE,Salmo salar,Fish,"Huon, Australia",FALSE,ai,TRUE,TRUE,1,
MW876861.1,TRUE,Mastadenovirus,Civet/India-Assam/2019/0199,India,Canine mastadenovirus A,,non-human,Mar-2019,FALSE,FALSE,undefined,Mammal,"undefined, India",TRUE,ai,TRUE,FALSE,,
KU194215.1,TRUE,Aquareovirus,San Marcos 2003,USA,Etheostoma fonticola aquareovirus,,non-human,Mar-2003,FALSE,FALSE,Etheostoma fonticola,Fish,,FALSE,ai,TRUE,TRUE,3,
KR180374.1,TRUE,Aquareovirus,GCRV-AH528,China,Grass carp reovirus,,non-human,May-2014,FALSE,FALSE,Ctenopharyngodon idellus,Fish,", China",FALSE,ai,TRUE,TRUE,7,
NC_007020.1,TRUE,Tupavirus,,,Tupaia virus,,non-human,,FALSE,FALSE,Tupaia,Mammal,,FALSE,ai,TRUE,FALSE,,
KR559484.1,TRUE,Alphavirus,WHCHK15,El Salvador,Chikungunya virus,,non-human,Nov-2014,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MW260144.1,TRUE,Orthoreovirus,PRV-1 NOR-2018/SF-V4105,Norway,Piscine orthoreovirus,,non-human,2018,FALSE,FALSE,Salmo salar,Fish,,FALSE,ai,TRUE,TRUE,S4,
KY429946.1,TRUE,Orthoreovirus,NOR2012-V3621,Norway,Piscine orthoreovirus,,non-human,2012,FALSE,FALSE,Salmo salar,Fish,"Unknown, Norway",FALSE,ai,TRUE,TRUE,M1,
KJ438731.1,TRUE,Orthoflavivirus,V43,Germany,Usutu virus,,non-human,2011,FALSE,FALSE,Turdus merula,Avian," , Germany",TRUE,ai,TRUE,FALSE,,
KC715683.1,TRUE,Orthoreovirus,VT06062012-358,Canada,Piscine orthoreovirus,,non-human,Jun-2012,FALSE,FALSE,Salmo salar,Fish,,FALSE,ai,TRUE,TRUE,M2,
MF143390.2,TRUE,Lyssavirus,VT.2007.0523,"USA: Franklin, Franklin, VT",Lyssavirus rabies,,non-human,10-Dec-2007,FALSE,FALSE,Mephitis mephitis,Mammal,"Franklin, USA",TRUE,ai,TRUE,FALSE,,
NC_013403.1,TRUE,Orbivirus,New Jersey,USA:New Jersey,Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey),,non-human,1955,FALSE,FALSE,,Other,"New Jersey, USA",TRUE,ai,TRUE,TRUE,8,
MK540828.1,TRUE,Lyssavirus,ON.2016.0569R,Canada: Ontario,Lyssavirus rabies,,non-human,2016,FALSE,FALSE,Procyon lotor,Mammal,"Ontario, Canada",TRUE,ai,TRUE,FALSE,,
AY303796.1,FALSE,Orthoflavivirus,CC27-L3,,Japanese encephalitis virus,,non-human,,FALSE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
KY426754.1,TRUE,Orthoflavivirus,V466,Germany,Usutu virus,,non-human,09-Sep-2015,FALSE,FALSE,Turdus merula,Avian,Germany,TRUE,ai,TRUE,FALSE,,
KM115531.1,TRUE,Alphavirus,ArTB-5290,Central African Republic: Bangui,Middelburg virus,,non-human,24-Jul-1984,FALSE,FALSE,Amblyomma variegatum,Other,"Bangui, Central African Republic",TRUE,ai,TRUE,FALSE,,
EU626551.1,TRUE,Lyssavirus,08120FRA,France,European bat lyssavirus 1,,non-human,2008,FALSE,FALSE,Eptesicus serotinus,Mammal,France,TRUE,ai,TRUE,FALSE,,
NC_018575.1,TRUE,Lambdapapillomavirus,,,Crocuta crocuta papillomavirus 1,,non-human,,FALSE,FALSE,,Other,,FALSE,ai,TRUE,FALSE,,
OP609808.1,TRUE,Orthoflavivirus,Italy/2022/Rovigo/22VIR6574,Italy,West Nile virus,,non-human,29-Jul-2022,FALSE,FALSE,Pica pica,Avian,Italy,TRUE,ai,TRUE,FALSE,,
MK540907.1,TRUE,Lyssavirus,ON.1995.3870SSK,Canada: Ontario,Lyssavirus rabies,,non-human,1995,FALSE,FALSE,,Mammal,"Ontario, Canada",TRUE,ai,TRUE,FALSE,,
KF826767.1,TRUE,Orthoflavivirus,TMUV-SDHS,China,Tembusu virus,,non-human,15-Dec-2012,FALSE,FALSE,Passer domesticus,Avian,China,TRUE,ai,TRUE,FALSE,,
OR344332.1,TRUE,Orthoreovirus,Pika/MRV/GCCDC7/2019,China,Mammalian orthoreovirus,,non-human,Dec-2019,FALSE,FALSE,Ochotona curzoniae,Mammal,China,FALSE,ai,TRUE,TRUE,M2,
OM892341.1,TRUE,Parvovirinae,221Parv,,Parvovirinae sp.,,non-human,2019,FALSE,FALSE,Lontra lutra,Mammal,"null, null",TRUE,ai,TRUE,FALSE,,
MT162445.1,TRUE,Novirhabdovirus,FR-14-58,France,Viral hemorrhagic septicemia virus,,non-human,1990,FALSE,FALSE,Oncorhynchus mykiss,Fish,France,FALSE,ai,TRUE,FALSE,,
MH102387.2,TRUE,Rhabdoviridae,DPuer,China,Rhinolophus rhabdovirus DPuer,,non-human,Aug-2015,FALSE,FALSE,Rhinolophus affinis,Mammal,China,TRUE,ai,TRUE,FALSE,,
NC_002016.1,FALSE,Alphainfluenzavirus,A/Puerto Rico/8/1934,Puerto Rico,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),,non-human,1934,FALSE,FALSE,Homo sapiens,Mammal,Puerto Rico,TRUE,ai,TRUE,TRUE,7,
KR559491.1,TRUE,Alphavirus,WHCHK22,Colombia,Chikungunya virus,,non-human,Aug-2014,FALSE,FALSE,,Other,Colombia,TRUE,ai,TRUE,FALSE,,
AY950240.1,TRUE,Alphainfluenzavirus,A/Chicken/Henan/13/2004,China,Influenza A virus (A/chicken/Henan/13/2004(H5N1)),,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,,TRUE,ai,TRUE,TRUE,7,
KT862843.1,TRUE,Orthoflavivirus,TX8102,"USA: Texas, Harris County",West Nile virus,,non-human,08-Sep-2010,FALSE,FALSE,Cyanocitta cristata,Avian,"Texas, Harris County, USA",TRUE,ai,TRUE,FALSE,,
KX000116.1,TRUE,Alphavirus,EEEV/Culiseta melanura/USA/ARB14MS330673/2014,"USA: Onondaga, NY",Eastern equine encephalitis virus,,non-human,03-Sep-2014,TRUE,FALSE,Culiseta melanura,Insect,"Onondaga, USA",TRUE,ai,TRUE,FALSE,,
NC_005341.1,TRUE,Ambidensovirus,,,Mythimna loreyi densovirus,,non-human,,FALSE,FALSE,arthropod,Insect,,FALSE,ai,TRUE,FALSE,,
OL704166.1,TRUE,Orthoflavivirus,P1113,"USA: Bridgeport, CT",Powassan virus,,non-human,18-Oct-2011,TRUE,FALSE,Ixodes scapularis,Insect,"Bridgeport, USA",TRUE,ai,TRUE,FALSE,,
NC_076261.1,TRUE,Ephemerovirus,DPP4816,Australia,Hayes Yard virus,,non-human,25-Feb-2000,FALSE,FALSE,Bos indicus,Mammal,"Unknown, Australia",TRUE,ai,TRUE,FALSE,,
OK422494.1,TRUE,Capripoxvirus,LSDV/Cattle/India/2019/Ranchi-1/P50,India,Lumpy skin disease virus,,non-human,,TRUE,FALSE,Bos indicus,Mammal," , India",TRUE,ai,TRUE,FALSE,,
KC460987.1,TRUE,Dyophipapillomavirus,Bruges/2009/22,Belgium,Talpa europaea papillomavirus 1,,non-human,06-Aug-2009,FALSE,FALSE,Talpa europaea,Mammal,Belgium,FALSE,ai,TRUE,FALSE,,
KU198615.1,TRUE,Orthoreovirus,624,South Africa,Mahlapitsi orthoreovirus,,non-human,,FALSE,FALSE,Eucampsipoda africana,Insect,,FALSE,ai,TRUE,TRUE,M1,
KX000078.1,TRUE,Alphavirus,EEEV/Zonotrichia albicollis/USA/71-20686/1971,"USA: Oswego, NY",Eastern equine encephalitis virus,,non-human,24-Aug-1971,TRUE,FALSE,Zonotrichia albicollis,Avian,"Oswego, NY, USA",TRUE,ai,TRUE,FALSE,,
JQ814851.1,TRUE,Mischivirus,,China,mischivirus A1,,non-human,Dec-2010,FALSE,FALSE,Miniopterus schreibersii,Mammal,China,FALSE,ai,TRUE,FALSE,,
KJ469622.1,TRUE,Alphavirus,MADV/Equus ferus caballus/ARG/ARG ENC LL/1936,Argentina,Madariaga virus,,non-human,1936,FALSE,FALSE,Equus ferus caballus,Mammal," , Argentina",FALSE,ai,TRUE,FALSE,,
MK286568.1,TRUE,Novirhabdovirus,FPL2017-006 Cay4 R GOBY vcG075,"USA: Long Point, Cayuga Lake, NY",Viral hemorrhagic septicemia virus,,non-human,2017,FALSE,FALSE,Neogobius melanostomus,Fish,"Long Point, USA",FALSE,ai,TRUE,FALSE,,
KX689268.1,TRUE,Cytomegalovirus,19936,USA,macacine betaherpesvirus 3,,non-human,17-Jul-2012,FALSE,FALSE,Macaca mulatta,Mammal,USA,TRUE,ai,TRUE,FALSE,,
MF161426.1,TRUE,Cypovirus,,Brazil,Thyrinteina arnobia cypovirus 14,,non-human,2011,FALSE,FALSE,Thyrinteina arnobia,Insect,Brazil,FALSE,ai,TRUE,TRUE,4,
MF143273.2,TRUE,Lyssavirus,QC.2008.1846,"Canada: Noyan, Le Haut-Richelieu, QC",Lyssavirus rabies,,non-human,07-May-2008,FALSE,FALSE,Procyon lotor,Mammal,"Noyan, Canada",TRUE,ai,TRUE,FALSE,,
NC_030151.1,TRUE,Epsilonpapillomavirus,BernieDPV,New Zealand,Cervus papillomavirus 2,,non-human,01-Jun-2013,FALSE,FALSE,Cervus elaphus X Cervus canadensis,Mammal,"New Zealand, New Zealand",FALSE,ai,TRUE,FALSE,,
NC_029914.1,TRUE,Orthoreovirus,2511,South Africa,Mahlapitsi orthoreovirus,,non-human,,FALSE,FALSE,Eucampsipoda africana,Insect,South Africa,FALSE,ai,TRUE,TRUE,M3,
MG562561.1,TRUE,Lyssavirus,VT.2005.0275,USA,Lyssavirus rabies,,non-human,2005,FALSE,FALSE,Procyon lotor,Mammal,USA,TRUE,ai,TRUE,FALSE,,
LT598543.1,TRUE,Lyssavirus,Gra_01.14-3-F,,Lyssavirus rabies,,non-human,,FALSE,FALSE,,Other,", ",TRUE,ai,TRUE,FALSE,,
